# BUSCO version is: 5.1.2 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at33090	Complete	h2tg000034l	1333678	1396914	-	4524.9	3677	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	h2tg000003l	1797511	1841042	-	5094.4	3412	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	h2tg000024l	7336879	7370274	+	5762.7	3570	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	h2tg000001l	10431126	10513176	+	3317.8	2279	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	h2tg000030l	810735	826091	+	1784.3	1587	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	h2tg000008l	19981807	20045267	+	1511.6	1074	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	h2tg000016l	8195682	8217757	-	2009.8	1521	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	h2tg000003l	16835499	16969407	-	1408.9	1008	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	h2tg000024l	1034235	1043309	-	2338.8	1742	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	h2tg000014l	23219861	23240066	-	1646.6	1116	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	h2tg000015l	4604824	4680606	-	1487.5	1022	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	h2tg000020l	6718216	6764377	+	1386.3	892	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	h2tg000020l	6548331	6558617	-	1257.0	831	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	h2tg000011l	26006607	26033359	+	1312.9	993	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	h2tg000009l	20023296	20037447	-	796.1	625	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
6843at33090	Complete	h2tg000024l	29308884	29325548	+	1173.3	750	https://v10-1.orthodb.org/?query=6843at33090	NHL repeat
7366at33090	Duplicated	h2tg000031l	1617544	1625984	+	1227.1	803	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
7366at33090	Duplicated	h2tg000017l	361663	698966	+	1049.0	629	https://v10-1.orthodb.org/?query=7366at33090	Zinc finger, CCHC-type
8072at33090	Complete	h2tg000015l	8553415	8607847	-	1273.8	818	https://v10-1.orthodb.org/?query=8072at33090	Exportin-1/Importin-beta-like
9044at33090	Complete	h2tg000030l	701173	709913	+	1374.7	867	https://v10-1.orthodb.org/?query=9044at33090	GHMP kinase, C-terminal domain
9058at33090	Complete	h2tg000024l	2212883	2222965	-	1054.4	887	https://v10-1.orthodb.org/?query=9058at33090	XPG/Rad2 endonuclease
9849at33090	Complete	h2tg000012l	849275	880912	+	808.8	834	https://v10-1.orthodb.org/?query=9849at33090	MMS19, C-terminal
10924at33090	Complete	h2tg000025l	6899643	6938456	+	1017.2	698	https://v10-1.orthodb.org/?query=10924at33090	Alpha-1,6-glucosidases, pullulanase-type
11664at33090	Complete	h2tg000020l	11250614	11336390	-	1061.7	682	https://v10-1.orthodb.org/?query=11664at33090	DNA topoisomerase, type IIA, subunit A/C-terminal
11800at33090	Complete	h2tg000014l	16843819	16847625	-	1979.1	1062	https://v10-1.orthodb.org/?query=11800at33090	Hydantoinase A/oxoprolinase
12439at33090	Complete	h2tg000014l	17311477	17348306	-	1127.1	694	https://v10-1.orthodb.org/?query=12439at33090	WD40 repeat
13039at33090	Complete	h2tg000002l	25996948	26020898	-	1218.8	713	https://v10-1.orthodb.org/?query=13039at33090	Aminoacyl-tRNA synthetase, class Ia
13643at33090	Complete	h2tg000009l	12886839	12897491	-	1089.3	707	https://v10-1.orthodb.org/?query=13643at33090	Conserved oligomeric Golgi complex subunit 7
15682at33090	Complete	h2tg000016l	17468825	17527224	-	1035.4	719	https://v10-1.orthodb.org/?query=15682at33090	MIF4G-like, type 1
16726at33090	Complete	h2tg000007l	3041668	3070997	-	1008.8	722	https://v10-1.orthodb.org/?query=16726at33090	ATPase, AAA-type, conserved site
18455at33090	Complete	h2tg000004l	4031238	4053873	+	689.5	539	https://v10-1.orthodb.org/?query=18455at33090	WD40-repeat-containing domain
18801at33090	Complete	h2tg000009l	7973623	7984360	-	1118.7	839	https://v10-1.orthodb.org/?query=18801at33090	Condensin complex subunit 3
21163at33090	Complete	h2tg000008l	9252992	9261486	-	1119.6	697	https://v10-1.orthodb.org/?query=21163at33090	Carbohydrate binding module family 20
21751at33090	Complete	h2tg000019l	4438086	4541792	+	1288.0	814	https://v10-1.orthodb.org/?query=21751at33090	Glycine-tRNA ligase, alpha subunit
21857at33090	Complete	h2tg000002l	21886430	21909255	-	734.9	562	https://v10-1.orthodb.org/?query=21857at33090	Anaphase-promoting complex subunit 4
22109at33090	Complete	h2tg000015l	11281105	11286835	-	680.1	432	https://v10-1.orthodb.org/?query=22109at33090	Quinolinate synthetase A
22618at33090	Complete	h2tg000006l	23429889	23436277	-	926.7	635	https://v10-1.orthodb.org/?query=22618at33090	BTB/POZ domain
22958at33090	Complete	h2tg000001l	10113138	10165085	-	965.1	650	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	h2tg000034l	208822	216270	-	598.7	444	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	h2tg000007l	2203836	2219332	-	871.4	631	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	h2tg000015l	4945998	4962534	+	960.3	776	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Duplicated	h2tg000016l	9598276	9642175	+	1037.3	724	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
25435at33090	Duplicated	h2tg000012l	11908994	11967597	+	990.6	730	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
25435at33090	Duplicated	h2tg000013l	7864384	7961142	-	940.5	722	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
25435at33090	Duplicated	h2tg000013l	8111314	8182610	+	925.5	712	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	h2tg000014l	10768223	10772756	-	772.1	508	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	h2tg000014l	17121177	17140533	-	952.1	623	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	h2tg000001l	5102175	5168098	-	623.2	450	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	h2tg000014l	16564358	16578670	-	847.0	544	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	h2tg000005l	5657442	5698963	-	518.2	441	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Complete	h2tg000003l	4194515	4203412	-	854.6	486	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Duplicated	h2tg000020l	8020037	8081724	+	651.3	489	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32730at33090	Duplicated	h2tg000020l	8123810	8192464	+	649.8	489	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32730at33090	Duplicated	h2tg000020l	7694993	7769810	+	643.3	489	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32730at33090	Duplicated	h2tg000020l	8275662	8399260	+	558.1	450	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	h2tg000002l	19409058	19414652	+	1217.1	705	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
33264at33090	Complete	h2tg000002l	26262174	26276480	-	712.7	490	https://v10-1.orthodb.org/?query=33264at33090	Tyrosyl-DNA phosphodiesterase I
34517at33090	Complete	h2tg000008l	1088675	1094921	+	1024.6	663	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Complete	h2tg000015l	1964375	1977667	-	925.2	557	https://v10-1.orthodb.org/?query=35499at33090	FAD/NAD(P)-binding domain
35887at33090	Complete	h2tg000024l	14179032	14253833	+	745.5	568	https://v10-1.orthodb.org/?query=35887at33090	Rad4 beta-hairpin domain 1
36284at33090	Complete	h2tg000008l	16531479	16553943	-	1095.5	609	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
37663at33090	Complete	h2tg000016l	13076508	13111207	-	741.9	538	https://v10-1.orthodb.org/?query=37663at33090	MoeA, C-terminal, domain IV
37699at33090	Complete	h2tg000017l	8568300	8606768	+	904.6	574	https://v10-1.orthodb.org/?query=37699at33090	ATP-dependent RNA helicase DEAD-box, conserved site
39913at33090	Complete	h2tg000016l	3559071	3586626	-	1052.2	544	https://v10-1.orthodb.org/?query=39913at33090	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
40630at33090	Complete	h2tg000006l	11812804	11832351	-	864.7	572	https://v10-1.orthodb.org/?query=40630at33090	Helicase, C-terminal
41146at33090	Complete	h2tg000017l	24333650	24354227	+	800.5	451	https://v10-1.orthodb.org/?query=41146at33090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
41244at33090	Complete	h2tg000011l	7202034	7215910	-	778.1	457	https://v10-1.orthodb.org/?query=41244at33090	Imidazole glycerol phosphate synthase hisHF
