#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h1tg000037l:7692471-7729306   -            847 12439at33090         -            733         0 1127.1  18.8   1   3  1.8e-301  1.2e-299  993.1   6.2     1   568     1   641     1   663 0.93 -
h1tg000037l:7692471-7729306   -            847 12439at33090         -            733         0 1127.1  18.8   2   3   5.6e-10   3.7e-08   29.5   0.4   574   600   694   720   686   722 0.92 -
h1tg000037l:7692471-7729306   -            847 12439at33090         -            733         0 1127.1  18.8   3   3   5.3e-34   3.5e-32  108.9   0.5   632   733   721   846   719   846 0.84 -
h1tg000025l:6451950-6458152   -            308 12439at33090         -            733   2.5e-29   99.5   2.9   1   6    0.0004     0.026   10.2   0.1   484   520    15    51     9    58 0.89 -
h1tg000025l:6451950-6458152   -            308 12439at33090         -            733   2.5e-29   99.5   2.9   2   6   1.5e-10     1e-08   31.4   0.1   486   544    60   120    55   123 0.85 -
h1tg000025l:6451950-6458152   -            308 12439at33090         -            733   2.5e-29   99.5   2.9   3   6   9.3e-08   6.1e-06   22.2   0.0   483   530    99   146    96   148 0.94 -
h1tg000025l:6451950-6458152   -            308 12439at33090         -            733   2.5e-29   99.5   2.9   4   6   2.2e-07   1.5e-05   20.9   0.0   488   543   146   204   141   207 0.83 -
h1tg000025l:6451950-6458152   -            308 12439at33090         -            733   2.5e-29   99.5   2.9   5   6   0.00073     0.049    9.3   0.0   496   530   197   231   190   242 0.74 -
h1tg000025l:6451950-6458152   -            308 12439at33090         -            733   2.5e-29   99.5   2.9   6   6   7.3e-06   0.00048   15.9   0.0   468   549   210   297   206   306 0.77 -
h1tg000037l:4004971-4019965   -            909 12439at33090         -            733   1.2e-25   87.3  14.2   1   5   1.1e-06   7.2e-05   18.6   0.1   195   263    67   135    39   145 0.73 -
h1tg000037l:4004971-4019965   -            909 12439at33090         -            733   1.2e-25   87.3  14.2   2   5   1.5e-11   9.7e-10   34.7   0.2   465   550   120   208   118   231 0.83 -
h1tg000037l:4004971-4019965   -            909 12439at33090         -            733   1.2e-25   87.3  14.2   3   5     0.035       2.3    3.7   0.0   487   528   401   441   392   447 0.82 -
h1tg000037l:4004971-4019965   -            909 12439at33090         -            733   1.2e-25   87.3  14.2   4   5   1.8e-06   0.00012   17.9   0.3   398   555   458   605   448   605 0.83 -
h1tg000037l:4004971-4019965   -            909 12439at33090         -            733   1.2e-25   87.3  14.2   5   5   4.4e-11   2.9e-09   33.2   0.5   144   310   536   696   524   710 0.87 -
h1tg000014l:840487-841518     -            344 12439at33090         -            733   4.2e-22   75.6   0.1   1   4   2.2e-09   1.5e-07   27.5   0.0   483   534    88   139    54   149 0.80 -
h1tg000014l:840487-841518     -            344 12439at33090         -            733   4.2e-22   75.6   0.1   2   4   1.4e-05   0.00094   14.9   0.0   483   551   130   200   129   204 0.88 -
h1tg000014l:840487-841518     -            344 12439at33090         -            733   4.2e-22   75.6   0.1   3   4   5.5e-09   3.6e-07   26.2   0.0   470   521   200   252   195   267 0.87 -
h1tg000014l:840487-841518     -            344 12439at33090         -            733   4.2e-22   75.6   0.1   4   4    0.0022      0.14    7.7   0.0   198   258   280   339   268   341 0.84 -
h1tg000049l:7084076-7084966   -            297 12439at33090         -            733   1.7e-21   73.6   8.8   1   3   1.2e-09   7.9e-08   28.4   0.9   458   531    62   137     9   142 0.71 -
h1tg000049l:7084076-7084966   -            297 12439at33090         -            733   1.7e-21   73.6   8.8   2   3   6.2e-10   4.1e-08   29.4   0.1   495   553   142   202   138   215 0.87 -
h1tg000049l:7084076-7084966   -            297 12439at33090         -            733   1.7e-21   73.6   8.8   3   3     5e-06   0.00033   16.4   0.2   162   219   240   296   227   297 0.81 -
h1tg000024l:1549910-1550584   -            225 12439at33090         -            733   1.4e-20   70.6   2.7   1   4   3.6e-05    0.0024   13.6   0.1   483   520    23    60    20    66 0.93 -
h1tg000024l:1549910-1550584   -            225 12439at33090         -            733   1.4e-20   70.6   2.7   2   4   5.7e-08   3.8e-06   22.9   0.2   487   530    69   112    62   113 0.92 -
h1tg000024l:1549910-1550584   -            225 12439at33090         -            733   1.4e-20   70.6   2.7   3   4   7.8e-09   5.2e-07   25.7   0.0   482   534   106   158   105   164 0.89 -
h1tg000024l:1549910-1550584   -            225 12439at33090         -            733   1.4e-20   70.6   2.7   4   4    0.0001    0.0069   12.1   0.0   490   540   156   206   153   225 0.77 -
h1tg000005l:14508857-14514934 -            898 12439at33090         -            733   1.8e-20   70.2   4.7   1   7      0.51        34   -0.1   0.0   463   550    22   111    18   117 0.69 -
h1tg000005l:14508857-14514934 -            898 12439at33090         -            733   1.8e-20   70.2   4.7   2   7   2.9e-05    0.0019   13.9   0.0   457   520    98   169    92   181 0.78 -
h1tg000005l:14508857-14514934 -            898 12439at33090         -            733   1.8e-20   70.2   4.7   3   7   0.00034     0.022   10.4   0.0   158   263   314   419   307   422 0.82 -
h1tg000005l:14508857-14514934 -            898 12439at33090         -            733   1.8e-20   70.2   4.7   4   7   1.2e-10     8e-09   31.7   0.1   453   561   391   504   386   508 0.81 -
h1tg000005l:14508857-14514934 -            898 12439at33090         -            733   1.8e-20   70.2   4.7   5   7   4.6e-05     0.003   13.3   0.0   482   525   508   551   486   558 0.84 -
h1tg000005l:14508857-14514934 -            898 12439at33090         -            733   1.8e-20   70.2   4.7   6   7   1.9e-05    0.0012   14.6   0.0   458   523   524   591   520   602 0.80 -
h1tg000005l:14508857-14514934 -            898 12439at33090         -            733   1.8e-20   70.2   4.7   7   7      0.07       4.6    2.7   0.0   495   550   625   678   610   686 0.72 -
h1tg000033l:791992-792864     -            291 12439at33090         -            733   2.2e-20   70.0   0.1   1   3   2.8e-10   1.8e-08   30.5   0.0   462   535    16    91     7   102 0.84 -
h1tg000033l:791992-792864     -            291 12439at33090         -            733   2.2e-20   70.0   0.1   2   3   4.3e-10   2.8e-08   29.9   0.0   462   562   103   206    93   216 0.83 -
h1tg000033l:791992-792864     -            291 12439at33090         -            733   2.2e-20   70.0   0.1   3   3   0.00034     0.022   10.4   0.0   462   529   188   261   182   271 0.79 -
h1tg000043l:1296050-1303270   -            291 12439at33090         -            733   8.9e-20   67.9   5.3   1   4    0.0003      0.02   10.6   0.0   278   310    13    45     5    61 0.86 -
h1tg000043l:1296050-1303270   -            291 12439at33090         -            733   8.9e-20   67.9   5.3   2   4   2.3e-08   1.5e-06   24.2   0.3   460   523    63   127    46   149 0.82 -
h1tg000043l:1296050-1303270   -            291 12439at33090         -            733   8.9e-20   67.9   5.3   3   4   8.8e-05    0.0058   12.3   0.1   492   545   140   191   133   197 0.83 -
h1tg000043l:1296050-1303270   -            291 12439at33090         -            733   8.9e-20   67.9   5.3   4   4   3.3e-08   2.2e-06   23.6   0.2   463   553   190   285   188   291 0.86 -
h1tg000038l:6949893-6950654   -            254 12439at33090         -            733   2.8e-19   66.3   3.9   1   3   2.8e-08   1.8e-06   23.9   0.5   466   524    25    89     3    92 0.75 -
h1tg000038l:6949893-6950654   -            254 12439at33090         -            733   2.8e-19   66.3   3.9   2   3   1.2e-06   8.1e-05   18.5   0.2   485   522    92   129    87   155 0.85 -
h1tg000038l:6949893-6950654   -            254 12439at33090         -            733   2.8e-19   66.3   3.9   3   3   4.2e-08   2.8e-06   23.3   0.0   465   553   159   249   143   254 0.74 -
h1tg000024l:8043476-8047979   -            675 12439at33090         -            733   3.7e-15   52.6   0.3   1   4   0.00051     0.034    9.8   0.0   488   557   204   281   201   285 0.79 -
h1tg000024l:8043476-8047979   -            675 12439at33090         -            733   3.7e-15   52.6   0.3   2   4    0.0042      0.28    6.8   0.0   504   526   322   344   295   357 0.66 -
h1tg000024l:8043476-8047979   -            675 12439at33090         -            733   3.7e-15   52.6   0.3   3   4      0.87        57   -0.9   0.0   387   416   360   389   342   398 0.66 -
h1tg000024l:8043476-8047979   -            675 12439at33090         -            733   3.7e-15   52.6   0.3   4   4   1.6e-10     1e-08   31.3   0.0   489   549   401   466   396   476 0.77 -
h1tg000010l:27983149-27984030 -            294 12439at33090         -            733   2.5e-13   46.6   3.1   1   2   1.6e-08   1.1e-06   24.7   0.2   425   541     9   133     3   152 0.76 -
h1tg000010l:27983149-27984030 -            294 12439at33090         -            733   2.5e-13   46.6   3.1   2   2   2.7e-07   1.8e-05   20.7   1.0   164   286   138   262   129   294 0.74 -
h1tg000024l:2533116-2533865   -            250 12439at33090         -            733   5.4e-13   45.5   0.0   1   3   3.8e-07   2.5e-05   20.1   0.1   455   523    11    83     4    86 0.84 -
h1tg000024l:2533116-2533865   -            250 12439at33090         -            733   5.4e-13   45.5   0.0   2   3     3e-05     0.002   13.9   0.1   468   526    69   129    62   137 0.81 -
h1tg000024l:2533116-2533865   -            250 12439at33090         -            733   5.4e-13   45.5   0.0   3   3   5.4e-06   0.00036   16.3   0.0   455   542   141   240   129   247 0.78 -
h1tg000037l:2830820-2831212   -            131 12439at33090         -            733   7.9e-13   45.0   0.0   1   2   2.1e-11   1.4e-09   34.2   0.0   463   526    19    82     3    87 0.89 -
h1tg000037l:2830820-2831212   -            131 12439at33090         -            733   7.9e-13   45.0   0.0   2   2   0.00089     0.059    9.0   0.0   489   530    87   128    84   131 0.93 -
h1tg000030l:5660223-5661197   -            325 12439at33090         -            733   9.2e-13   44.7   4.2   1   4      0.27        18    0.8   0.0   488   520     4    34     1    40 0.83 -
h1tg000030l:5660223-5661197   -            325 12439at33090         -            733   9.2e-13   44.7   4.2   2   4   9.1e-10     6e-08   28.8   1.0   421   544    47   180    13   199 0.72 -
h1tg000030l:5660223-5661197   -            325 12439at33090         -            733   9.2e-13   44.7   4.2   3   4    0.0003      0.02   10.6   0.0   481   520   202   241   179   255 0.75 -
h1tg000030l:5660223-5661197   -            325 12439at33090         -            733   9.2e-13   44.7   4.2   4   4     0.068       4.5    2.8   0.0   488   521   257   288   249   300 0.78 -
h1tg000045l:9451054-9451689   -            212 12439at33090         -            733   1.7e-12   43.9   0.3   1   3   8.9e-06   0.00059   15.6   0.0   486   532    10    56     6    69 0.85 -
h1tg000045l:9451054-9451689   -            212 12439at33090         -            733   1.7e-12   43.9   0.3   2   3     0.034       2.3    3.8   0.0   496   522    62    88    49   104 0.81 -
h1tg000045l:9451054-9451689   -            212 12439at33090         -            733   1.7e-12   43.9   0.3   3   3   6.5e-08   4.3e-06   22.7   0.0   461   523   110   171    89   182 0.87 -
h1tg000049l:7096250-7097143   -            298 12439at33090         -            733   2.6e-12   43.3   4.8   1   3   3.1e-05    0.0021   13.8   0.0   462   533    24    96     8   110 0.84 -
h1tg000049l:7096250-7097143   -            298 12439at33090         -            733   2.6e-12   43.3   4.8   2   3     4e-06   0.00026   16.8   0.4   139   256    81   205    79   226 0.71 -
h1tg000049l:7096250-7097143   -            298 12439at33090         -            733   2.6e-12   43.3   4.8   3   3     2e-05    0.0013   14.5   0.2   155   219   236   298   222   298 0.73 -
h1tg000038l:838841-839746     -            302 12439at33090         -            733   4.1e-12   42.6   3.5   1   2   1.8e-08   1.2e-06   24.5   0.4   392   544     8   179     2   196 0.68 -
h1tg000038l:838841-839746     -            302 12439at33090         -            733   4.1e-12   42.6   3.5   2   2   1.2e-06   8.1e-05   18.5   0.3   179   262   200   283   180   301 0.75 -
h1tg000025l:9346749-9347495   -            249 12439at33090         -            733   5.3e-12   42.2   0.3   1   2   6.7e-13   4.4e-11   39.2   0.3   392   537    27   179    11   205 0.78 -
h1tg000025l:9346749-9347495   -            249 12439at33090         -            733   5.3e-12   42.2   0.3   2   2      0.17        11    1.5   0.0   166   220   190   249   184   249 0.59 -
h1tg000001l:19024566-19025252 -            229 12439at33090         -            733     6e-12   42.0   0.5   1   3       2.6   1.7e+02   -2.4   0.1   206   224    27    45    21    52 0.59 -
h1tg000001l:19024566-19025252 -            229 12439at33090         -            733     6e-12   42.0   0.5   2   3   4.1e-06   0.00027   16.7   0.0   490   542    66   120    64   126 0.83 -
h1tg000001l:19024566-19025252 -            229 12439at33090         -            733     6e-12   42.0   0.5   3   3   3.8e-08   2.5e-06   23.4   0.1   466   533   126   194   113   205 0.89 -
h1tg000010l:30320343-30325525 -            452 12439at33090         -            733   3.9e-11   39.3   1.6   1   4     0.019       1.3    4.6   0.0   491   525    42    77    35    85 0.87 -
h1tg000010l:30320343-30325525 -            452 12439at33090         -            733   3.9e-11   39.3   1.6   2   4   4.8e-05    0.0032   13.2   0.1   463   526   159   224   112   235 0.65 -
h1tg000010l:30320343-30325525 -            452 12439at33090         -            733   3.9e-11   39.3   1.6   3   4   1.8e-06   0.00012   17.9   0.2   490   550   312   370   305   388 0.88 -
h1tg000010l:30320343-30325525 -            452 12439at33090         -            733   3.9e-11   39.3   1.6   4   4      0.13       8.5    1.9   0.0   448   501   356   410   347   420 0.83 -
h1tg000002l:22673346-22673552 -             69 12439at33090         -            733     4e-11   39.3   0.0   1   1   6.2e-13   4.1e-11   39.3   0.0   470   531     5    67     1    69 0.90 -
h1tg000047l:9651112-9655100   -            304 12439at33090         -            733   4.8e-11   39.0   0.1   1   3   0.00098     0.065    8.9   0.0   486   521    13    48     8    53 0.93 -
h1tg000047l:9651112-9655100   -            304 12439at33090         -            733   4.8e-11   39.0   0.1   2   3   0.00047     0.031    9.9   0.0   488   529    61   103    54   117 0.87 -
h1tg000047l:9651112-9655100   -            304 12439at33090         -            733   4.8e-11   39.0   0.1   3   3     5e-06   0.00033   16.5   0.0   470   555   209   296   192   299 0.89 -
h1tg000038l:4309328-4309933   -            202 12439at33090         -            733   5.9e-10   35.5   0.0   1   2   1.6e-06    0.0001   18.1   0.0   458   533     4    81     1   126 0.75 -
h1tg000038l:4309328-4309933   -            202 12439at33090         -            733   5.9e-10   35.5   0.0   2   2   6.5e-06   0.00043   16.1   0.0   479   552   119   193   104   201 0.77 -
h1tg000023l:8791947-8792825   -            293 12439at33090         -            733   8.6e-10   34.9   0.2   1   3   1.6e-05     0.001   14.8   0.1   495   528     2    35     1    47 0.90 -
h1tg000023l:8791947-8792825   -            293 12439at33090         -            733   8.6e-10   34.9   0.2   2   3   4.3e-05    0.0029   13.3   0.0   464   520   116   175   105   193 0.76 -
h1tg000023l:8791947-8792825   -            293 12439at33090         -            733   8.6e-10   34.9   0.2   3   3     0.062       4.1    2.9   0.0   480   520   206   254   185   270 0.69 -
h1tg000029l:4337099-4337740   -            214 12439at33090         -            733   1.1e-09   34.5   4.3   1   3   0.00028     0.018   10.7   0.2   491   531     1    41     1    53 0.89 -
h1tg000029l:4337099-4337740   -            214 12439at33090         -            733   1.1e-09   34.5   4.3   2   3   2.8e-08   1.9e-06   23.9   0.0   164   286    58   182    49   190 0.77 -
h1tg000029l:4337099-4337740   -            214 12439at33090         -            733   1.1e-09   34.5   4.3   3   3      0.26        17    0.9   0.1   502   521   193   213   172   214 0.70 -
h1tg000029l:3756661-3756975   -            105 12439at33090         -            733     2e-09   33.7   0.0   1   2   2.8e-10   1.9e-08   30.5   0.0   468   530     4    68     1    73 0.90 -
h1tg000029l:3756661-3756975   -            105 12439at33090         -            733     2e-09   33.7   0.0   2   2      0.19        12    1.3   0.0   193   220    79   105    73   105 0.59 -
h1tg000025l:13131845-13132228 -            128 12439at33090         -            733   3.8e-09   32.8   0.8   1   2   2.4e-08   1.6e-06   24.1   0.1   472   547     3    81     1    82 0.85 -
h1tg000025l:13131845-13132228 -            128 12439at33090         -            733   3.8e-09   32.8   0.8   2   2   0.00012    0.0078   11.9   0.1   489   526    63   100    60   120 0.82 -
h1tg000002l:25180139-25180984 -            282 12439at33090         -            733   4.4e-09   32.6   0.7   1   3       1.1        74   -1.2   0.0   248   267    15    34    10    40 0.76 -
h1tg000002l:25180139-25180984 -            282 12439at33090         -            733   4.4e-09   32.6   0.7   2   3     8e-06   0.00053   15.8   0.1   457   519    67   131    62   142 0.88 -
h1tg000002l:25180139-25180984 -            282 12439at33090         -            733   4.4e-09   32.6   0.7   3   3   2.5e-05    0.0016   14.1   0.0   185   308   144   276   135   279 0.77 -
h1tg000010l:26367815-26368390 -            192 12439at33090         -            733   8.9e-09   31.6   0.5   1   2   1.1e-07   7.2e-06   21.9   0.0   469   546    31   111    14   112 0.78 -
h1tg000010l:26367815-26368390 -            192 12439at33090         -            733   8.9e-09   31.6   0.5   2   2    0.0002     0.013   11.1   0.1   488   525    93   130    88   151 0.85 -
h1tg000033l:2994600-2995319   -            240 12439at33090         -            733   9.1e-09   31.5   3.4   1   2     0.013      0.83    5.2   0.3   486   543    12    69     3    86 0.73 -
h1tg000033l:2994600-2995319   -            240 12439at33090         -            733   9.1e-09   31.5   3.4   2   2   2.2e-09   1.4e-07   27.6   0.2   163   296    71   208    61   224 0.79 -
h1tg000024l:3368191-3374845   -            388 12439at33090         -            733   4.3e-08   29.3   0.1   1   3   5.8e-05    0.0038   12.9   0.0   467   527    52   115    35   123 0.75 -
h1tg000024l:3368191-3374845   -            388 12439at33090         -            733   4.3e-08   29.3   0.1   2   3   5.5e-05    0.0036   13.0   0.0   192   258   124   191   111   205 0.77 -
h1tg000024l:3368191-3374845   -            388 12439at33090         -            733   4.3e-08   29.3   0.1   3   3       0.4        26    0.2   0.0   175   234   197   256   194   263 0.88 -
h1tg000023l:16744138-16744707 -            190 12439at33090         -            733   1.5e-07   27.5   0.1   1   2   6.6e-06   0.00044   16.0   0.0   469   523    27    83    13    88 0.67 -
h1tg000023l:16744138-16744707 -            190 12439at33090         -            733   1.5e-07   27.5   0.1   2   2   0.00051     0.034    9.8   0.0   186   266    95   178    87   189 0.81 -
h1tg000036l:4009965-4010558   -            198 12439at33090         -            733     2e-07   27.1   0.3   1   2    0.0017      0.11    8.1   0.0   490   531     2    43     1    54 0.88 -
h1tg000036l:4009965-4010558   -            198 12439at33090         -            733     2e-07   27.1   0.3   2   2     4e-06   0.00026   16.8   0.1   464   560    59   155    54   157 0.81 -
h1tg000032l:6972449-6973069   -            207 12439at33090         -            733   3.9e-07   26.1   3.4   1   2    0.0002     0.013   11.2   0.1   462   522    17    79     7    89 0.84 -
h1tg000032l:6972449-6973069   -            207 12439at33090         -            733   3.9e-07   26.1   3.4   2   2   6.8e-06   0.00045   16.0   0.4   452   527    91   171    82   207 0.74 -
h1tg000037l:7868343-7871088   -            338 12439at33090         -            733   1.3e-06   24.4   0.2   1   3   7.7e-05    0.0051   12.5   0.0   166   546    53   139     9   163 0.61 -
h1tg000037l:7868343-7871088   -            338 12439at33090         -            733   1.3e-06   24.4   0.2   2   3     0.058       3.9    3.0   0.0   172   236   188   249   184   261 0.77 -
h1tg000037l:7868343-7871088   -            338 12439at33090         -            733   1.3e-06   24.4   0.2   3   3    0.0068      0.45    6.1   0.2   502   525   267   290   217   294 0.60 -
h1tg000005l:16782550-16783128 -            193 12439at33090         -            733   1.7e-06   24.0   0.9   1   2   6.7e-05    0.0044   12.7   0.8   491   541     7    59     3    78 0.65 -
h1tg000005l:16782550-16783128 -            193 12439at33090         -            733   1.7e-06   24.0   0.9   2   2    0.0017      0.11    8.1   0.0   186   286    92   192    84   193 0.61 -
h1tg000047l:384241-384930     -            230 12439at33090         -            733   1.8e-06   24.0   0.0   1   3    0.0028      0.18    7.4   0.0   482   519    42    79     9    87 0.88 -
h1tg000047l:384241-384930     -            230 12439at33090         -            733   1.8e-06   24.0   0.0   2   3     0.004      0.27    6.8   0.0   488   543   101   157    97   177 0.82 -
h1tg000047l:384241-384930     -            230 12439at33090         -            733   1.8e-06   24.0   0.0   3   3    0.0049      0.33    6.6   0.0   489   523   194   228   180   230 0.60 -
h1tg000017l:8571414-8571785   -            124 12439at33090         -            733     2e-06   23.8   0.2   1   2    0.0003      0.02   10.6   0.0   486   525    15    54     9    63 0.89 -
h1tg000017l:8571414-8571785   -            124 12439at33090         -            733     2e-06   23.8   0.2   2   2   0.00015    0.0098   11.6   0.0   490   529    80   119    75   123 0.87 -
h1tg000049l:7111293-7111832   -            180 12439at33090         -            733   3.2e-06   23.1   1.0   1   2    0.0023      0.16    7.6   0.1   484   520     6    41     3    51 0.66 -
h1tg000049l:7111293-7111832   -            180 12439at33090         -            733   3.2e-06   23.1   1.0   2   2   2.2e-05    0.0014   14.3   0.1   181   282    49   150    44   165 0.76 -
h1tg000040l:6039645-6040400   -            252 12439at33090         -            733   4.2e-06   22.7   0.0   1   2   3.7e-07   2.4e-05   20.2   0.0   185   302    48   163    14   175 0.79 -
h1tg000040l:6039645-6040400   -            252 12439at33090         -            733   4.2e-06   22.7   0.0   2   2      0.37        24    0.4   0.0   192   225   189   221   166   232 0.70 -
h1tg000001l:18007430-18008014 -            195 12439at33090         -            733     7e-06   22.0   1.4   1   2   4.8e-06   0.00031   16.5   0.2   484   520     3    39     1    48 0.92 -
h1tg000001l:18007430-18008014 -            195 12439at33090         -            733     7e-06   22.0   1.4   2   2     0.024       1.6    4.3   0.0   162   221   132   192   108   194 0.72 -
h1tg000047l:5042790-5043266   -            159 12439at33090         -            733   7.9e-06   21.8   0.1   1   2   0.00082     0.054    9.1   0.0   486   537     2    53     1    61 0.79 -
h1tg000047l:5042790-5043266   -            159 12439at33090         -            733   7.9e-06   21.8   0.1   2   2   0.00022     0.015   11.0   0.0   119   152    57    89    52   102 0.85 -
h1tg000024l:8305338-8305943   -            202 12439at33090         -            733   2.2e-05   20.3   0.1   1   2    0.0058      0.39    6.3   0.0   490   561     4    78     1   103 0.59 -
h1tg000024l:8305338-8305943   -            202 12439at33090         -            733   2.2e-05   20.3   0.1   2   2   5.3e-05    0.0035   13.1   0.0   445   522    81   162    79   166 0.73 -
h1tg000008l:5143232-5144020   -            263 12439at33090         -            733   3.6e-05   19.6   0.0   1   2      0.05       3.3    3.2   0.0   203   261    69   129    34   150 0.79 -
h1tg000008l:5143232-5144020   -            263 12439at33090         -            733   3.6e-05   19.6   0.0   2   2   2.2e-05    0.0015   14.3   0.0   466   533   163   232   150   262 0.74 -
h1tg000008l:5136244-5136903   -            220 12439at33090         -            733   3.6e-05   19.6   0.1   1   2    0.0099      0.65    5.6   0.0   203   299    55   153    20   162 0.75 -
