#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h1tg000032l:796620-802259   -            601 137787at33090        -            461  2.3e-162  538.8  21.4   1   4  8.7e-113  6.3e-110  365.9   7.1     1   200     1   208     1   218 0.95 -
h1tg000032l:796620-802259   -            601 137787at33090        -            461  2.3e-162  538.8  21.4   2   4   3.3e-25   2.4e-22   77.2   1.0   200   309   251   387   243   419 0.79 -
h1tg000032l:796620-802259   -            601 137787at33090        -            461  2.3e-162  538.8  21.4   3   4   3.3e-16   2.4e-13   47.5   0.1   293   369   421   511   400   512 0.79 -
h1tg000032l:796620-802259   -            601 137787at33090        -            461  2.3e-162  538.8  21.4   4   4     5e-17   3.6e-14   50.3   0.0   399   461   510   591   506   591 0.79 -
h1tg000045l:6080922-6082358 -            479 137787at33090        -            461   5.5e-21   72.7  16.6   1   6   8.3e-08   6.1e-05   19.8   0.1   126   180     6    60     1    61 0.88 -
h1tg000045l:6080922-6082358 -            479 137787at33090        -            461   5.5e-21   72.7  16.6   2   6   1.4e-06     0.001   15.8   0.4   301   374    59   130    57   136 0.90 -
h1tg000045l:6080922-6082358 -            479 137787at33090        -            461   5.5e-21   72.7  16.6   3   6    0.0025       1.9    5.1   0.2   124   181    99   152    97   156 0.72 -
h1tg000045l:6080922-6082358 -            479 137787at33090        -            461   5.5e-21   72.7  16.6   4   6   5.8e-06    0.0042   13.8   0.6    95   173   133   207   129   210 0.82 -
h1tg000045l:6080922-6082358 -            479 137787at33090        -            461   5.5e-21   72.7  16.6   5   6     2e-09   1.4e-06   25.2   2.3    83   192   261   371   242   395 0.82 -
h1tg000045l:6080922-6082358 -            479 137787at33090        -            461   5.5e-21   72.7  16.6   6   6    0.0018       1.3    5.6   0.0   120   184   400   464   384   478 0.80 -
h1tg000032l:9006378-9034281 -            157 137787at33090        -            461    0.0031   14.2   0.2   1   2   4.2e-06    0.0031   14.2   0.2    84   113    60    89    31    95 0.86 -
h1tg000032l:9006378-9034281 -            157 137787at33090        -            461    0.0031   14.2   0.2   2   2      0.49   3.6e+02   -2.5   0.2   173   182   117   126   114   141 0.67 -
h1tg000024l:7846648-7849678 -            170 137787at33090        -            461    0.0069   13.1   0.7   1   1   2.9e-05     0.021   11.4   0.2    84   113    73   102    61   108 0.86 -
h1tg000003l:7931866-7934286 -            807 137787at33090        -            461     0.015   12.0   0.2   1   2   0.00017      0.12    8.9   0.1   295   391   475   571   458   591 0.90 -
h1tg000003l:7931866-7934286 -            807 137787at33090        -            461     0.015   12.0   0.2   2   2     0.085        62    0.0   0.0    99   140   699   741   692   763 0.84 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/busco_downloads/lineages/viridiplantae_odb10/hmms/137787at33090.hmm
# Target file:     /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/maternalpaternal.asm.dip.hap1.p_ctg.fa.busco/run_viridiplantae_odb10/metaeuk_output/initial_results/maternalpaternal.asm.dip.hap1.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/maternalpaternal.asm.dip.hap1.p_ctg.fa.busco/run_viridiplantae_odb10/hmmer_output/initial_run_results/137787at33090.out --cpu 1 /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/busco_downloads/lineages/viridiplantae_odb10/hmms/137787at33090.hmm /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/maternalpaternal.asm.dip.hap1.p_ctg.fa.busco/run_viridiplantae_odb10/metaeuk_output/initial_results/maternalpaternal.asm.dip.hap1.p_ctg.fa.modified.fas 
# Current dir:     /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning
# Date:            Thu Apr 18 11:10:06 2024
# [ok]
