#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h2tg000024l:2365584-2369792   -            447 163097at33090        -            311  4.5e-158  522.6   1.5   1   1  2.6e-160  9.9e-158  521.5   1.5     6   311   101   441    97   441 0.90 -
h2tg000011l:3413042-3419093   -            447 163097at33090        -            311   4.2e-31  105.6   0.1   1   1   2.9e-30   1.1e-27   94.4   0.1    19   309   119   443    99   445 0.71 -
h2tg000014l:19409305-19410581 -            167 163097at33090        -            311   2.4e-06   24.2   0.1   1   2     5e-08   1.9e-05   21.3   0.0   149   190    22    64    14    67 0.89 -
h2tg000014l:19409305-19410581 -            167 163097at33090        -            311   2.4e-06   24.2   0.1   2   2     0.078        30    1.0   0.0   226   270    79   121    64   135 0.70 -
h2tg000007l:25630132-25630716 -            152 163097at33090        -            311   2.3e-05   21.1   0.0   1   2   8.9e-07   0.00034   17.2   0.0   150   190    25    66     7    70 0.86 -
h2tg000007l:25630132-25630716 -            152 163097at33090        -            311   2.3e-05   21.1   0.0   2   2     0.035        13    2.1   0.0   237   289    92   135    75   144 0.70 -
h2tg000026l:857618-858202     -            152 163097at33090        -            311   2.3e-05   21.1   0.0   1   2   8.9e-07   0.00034   17.2   0.0   150   190    25    66     7    70 0.86 -
h2tg000026l:857618-858202     -            152 163097at33090        -            311   2.3e-05   21.1   0.0   2   2     0.035        13    2.1   0.0   237   289    92   135    75   144 0.70 -
h2tg000001l:26716150-26723973 -            486 163097at33090        -            311   4.8e-05   20.0   0.5   1   3   3.9e-06    0.0015   15.1   0.0   149   190    32    74    16    78 0.88 -
h2tg000001l:26716150-26723973 -            486 163097at33090        -            311   4.8e-05   20.0   0.5   2   3     0.029        11    2.4   0.0   226   281    89   136    76   152 0.76 -
h2tg000001l:26716150-26723973 -            486 163097at33090        -            311   4.8e-05   20.0   0.5   3   3       1.5   5.8e+02   -3.3   0.1    51    70   218   237   184   261 0.57 -
h2tg000016l:19871199-19876301 -            117 163097at33090        -            311   4.8e-05   20.0   0.0   1   2   5.3e-06     0.002   14.6   0.0   150   190    13    54     5    68 0.88 -
h2tg000016l:19871199-19876301 -            117 163097at33090        -            311   4.8e-05   20.0   0.0   2   2     0.011       4.2    3.8   0.0   261   286    91   116    71   117 0.78 -
h2tg000019l:611384-612157     -             93 163097at33090        -            311    0.0037   13.8   0.5   1   2    0.0043       1.6    5.1   0.1   166   190     1    26     1    34 0.80 -
h2tg000019l:611384-612157     -             93 163097at33090        -            311    0.0037   13.8   0.5   2   2   0.00072      0.28    7.6   0.0   230   287    40    88    32    93 0.79 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/busco_downloads/lineages/viridiplantae_odb10/hmms/163097at33090.hmm
# Target file:     /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/maternalpaternal.asm.dip.hap2.p_ctg.fa.busco/run_viridiplantae_odb10/metaeuk_output/initial_results/maternalpaternal.asm.dip.hap2.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/maternalpaternal.asm.dip.hap2.p_ctg.fa.busco/run_viridiplantae_odb10/hmmer_output/initial_run_results/163097at33090.out --cpu 1 /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/busco_downloads/lineages/viridiplantae_odb10/hmms/163097at33090.hmm /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/maternalpaternal.asm.dip.hap2.p_ctg.fa.busco/run_viridiplantae_odb10/metaeuk_output/initial_results/maternalpaternal.asm.dip.hap2.p_ctg.fa.modified.fas 
# Current dir:     /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning
# Date:            Thu Apr 18 11:36:19 2024
# [ok]
