#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h2tg000009l:6964280-6981126   -            459 60262at33090         -            363  3.9e-186  615.8   9.8   1   2  1.1e-144  2.1e-142  472.0   4.8     1   252     1   266     1   279 0.96 -
h2tg000009l:6964280-6981126   -            459 60262at33090         -            363  3.9e-186  615.8   9.8   2   2     1e-45     2e-43  146.3   0.2   253   363   309   439   298   439 0.89 -
h2tg000011l:9951958-9955950   -            304 60262at33090         -            363   1.1e-10   38.6   0.1   1   3   0.00052     0.099    9.1   0.0   205   235    14    45     2    51 0.79 -
h2tg000011l:9951958-9955950   -            304 60262at33090         -            363   1.1e-10   38.6   0.1   2   3     4e-08   7.6e-06   22.7   0.0    90   237    67   218    58   235 0.83 -
h2tg000011l:9951958-9955950   -            304 60262at33090         -            363   1.1e-10   38.6   0.1   3   3     0.034       6.5    3.2   0.0    12    57   239   285   229   300 0.74 -
h2tg000012l:3855031-3861108   -            898 60262at33090         -            363   1.9e-10   37.8   0.3   1   3   6.7e-08   1.3e-05   21.9   0.0    12    75   100   170    90   178 0.81 -
h2tg000012l:3855031-3861108   -            898 60262at33090         -            363   1.9e-10   37.8   0.3   2   3   0.00032     0.062    9.8   0.1   189   240   372   421   345   445 0.78 -
h2tg000012l:3855031-3861108   -            898 60262at33090         -            363   1.9e-10   37.8   0.3   3   3      0.12        23    1.4   0.0   212   244   521   553   478   584 0.61 -
h2tg000007l:25012109-25017803 -            308 60262at33090         -            363   7.5e-10   35.8   0.3   1   3   7.2e-06    0.0014   15.2   0.1    48   145    69   165    30   170 0.79 -
h2tg000007l:25012109-25017803 -            308 60262at33090         -            363   7.5e-10   35.8   0.3   2   3   1.9e-06   0.00036   17.1   0.0   183   249   168   233   160   252 0.81 -
h2tg000007l:25012109-25017803 -            308 60262at33090         -            363   7.5e-10   35.8   0.3   3   3      0.57   1.1e+02   -0.9   0.0   184   229   257   300   242   307 0.68 -
h2tg000026l:192171-198373     -            308 60262at33090         -            363   7.5e-10   35.8   0.3   1   3   7.2e-06    0.0014   15.2   0.1    48   145    69   165    30   170 0.79 -
h2tg000026l:192171-198373     -            308 60262at33090         -            363   7.5e-10   35.8   0.3   2   3   1.9e-06   0.00036   17.1   0.0   183   249   168   233   160   252 0.81 -
h2tg000026l:192171-198373     -            308 60262at33090         -            363   7.5e-10   35.8   0.3   3   3      0.57   1.1e+02   -0.9   0.0   184   229   257   300   242   307 0.68 -
h2tg000007l:1677804-1678478   -            225 60262at33090         -            363   1.2e-07   28.6   0.3   1   3   0.00018     0.034   10.7   0.1    12    62    39    91    31    94 0.82 -
h2tg000007l:1677804-1678478   -            225 60262at33090         -            363   1.2e-07   28.6   0.3   2   3   4.2e-05     0.008   12.7   0.0   184   247    93   154    90   166 0.82 -
h2tg000007l:1677804-1678478   -            225 60262at33090         -            363   1.2e-07   28.6   0.3   3   3     0.069        13    2.1   0.0    85   227   199   219   157   225 0.52 -
h2tg000015l:5369896-5370501   -            202 60262at33090         -            363   2.6e-05   20.9   0.1   1   4       1.8   3.4e+02   -2.5   0.0   212   239     1    28     1    35 0.86 -
h2tg000015l:5369896-5370501   -            202 60262at33090         -            363   2.6e-05   20.9   0.1   2   4      0.14        28    1.1   0.0   279   306    44    70    32    85 0.73 -
h2tg000015l:5369896-5370501   -            202 60262at33090         -            363   2.6e-05   20.9   0.1   3   4    0.0029      0.57    6.6   0.0   200   244    77   124    62   133 0.69 -
h2tg000015l:5369896-5370501   -            202 60262at33090         -            363   2.6e-05   20.9   0.1   4   4   0.00051     0.098    9.1   0.0    12    58   139   186   137   199 0.87 -
h2tg000005l:1559037-1559723   -            229 60262at33090         -            363   5.2e-05   19.9   0.8   1   3       2.9   5.6e+02   -3.2   0.0   223   244    26    48    23    52 0.60 -
h2tg000005l:1559037-1559723   -            229 60262at33090         -            363   5.2e-05   19.9   0.8   2   3   3.4e-05    0.0065   13.0   0.0   212   244    71   103    59   121 0.85 -
h2tg000005l:1559037-1559723   -            229 60262at33090         -            363   5.2e-05   19.9   0.8   3   3    0.0096       1.8    5.0   0.1   199   237   143   181   125   198 0.67 -
h2tg000017l:25359201-25360232 -            344 60262at33090         -            363   0.00036   17.2   0.5   1   2     0.066        13    2.2   0.1   152   202    86   134    56   171 0.54 -
h2tg000017l:25359201-25360232 -            344 60262at33090         -            363   0.00036   17.2   0.5   2   2   0.00012     0.023   11.2   0.4    48   244   100   308    97   315 0.68 -
h2tg000008l:1620558-1621193   -            212 60262at33090         -            363   0.00038   17.1   1.3   1   1   4.5e-06   0.00087   15.9   1.2    47   106    18    76     7   124 0.78 -
h2tg000007l:8609591-8610196   -            202 60262at33090         -            363   0.00072   16.2   0.2   1   1   0.00019     0.037   10.5   0.1    48   151    51   153    50   167 0.82 -
h2tg000027l:3970520-3980645   -            790 60262at33090         -            363    0.0041   13.7   1.7   1   2     0.054        10    2.5   0.2   207   243   328   361   322   372 0.79 -
h2tg000027l:3970520-3980645   -            790 60262at33090         -            363    0.0041   13.7   1.7   2   2   0.00032     0.061    9.8   0.1   173   239   432   504   396   525 0.76 -
h2tg000007l:2626303-2627052   -            250 60262at33090         -            363    0.0062   13.1   0.0   1   1   5.2e-05      0.01   12.4   0.0   182   237    69   123     5   137 0.80 -
h2tg000002l:477847-478440     -            198 60262at33090         -            363    0.0091   12.5   0.1   1   1   6.1e-05     0.012   12.2   0.1    47   152     6   110     3   149 0.82 -
h2tg000005l:1564059-1564265   -             69 60262at33090         -            363     0.015   11.9   0.0   1   1   7.7e-05     0.015   11.9   0.0   199   245    21    67     7    69 0.86 -
h2tg000019l:4632558-4633436   -            293 60262at33090         -            363     0.024   11.2   0.6   1   3      0.09        17    1.8   0.1    92   120     3    30     1    49 0.58 -
h2tg000019l:4632558-4633436   -            293 60262at33090         -            363     0.024   11.2   0.6   2   3     0.064        12    2.3   0.0   208   239   146   177   123   182 0.80 -
h2tg000019l:4632558-4633436   -            293 60262at33090         -            363     0.024   11.2   0.6   3   3     0.022       4.2    3.8   0.1    45   107   218   286   203   291 0.80 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/busco_downloads/lineages/viridiplantae_odb10/hmms/60262at33090.hmm
