#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h2tg000004l:2295872-2299882   -            375 92418at33090         -            293  1.8e-144  477.9   3.6   1   2   1.8e-93   6.9e-91  302.0   0.1     1   152    76   234    76   237 0.95 -
h2tg000004l:2295872-2299882   -            375 92418at33090         -            293  1.8e-144  477.9   3.6   2   2   1.1e-55   4.2e-53  178.0   0.7   175   293   235   372   231   372 0.90 -
h2tg000017l:2125539-2126906   -            456 92418at33090         -            293   1.6e-07   28.4   0.0   1   1   1.2e-09   4.8e-07   26.8   0.0     5   233   121   381   117   401 0.71 -
h2tg000015l:18039459-18040741 -            259 92418at33090         -            293   4.7e-05   20.3   0.0   1   1   1.9e-07   7.4e-05   19.6   0.0     5    80     4    86     1   115 0.80 -
h2tg000013l:11001410-11004725 -            261 92418at33090         -            293   7.9e-05   19.5   0.0   1   2   7.1e-07   0.00027   17.7   0.0     6    81     2    84     1   113 0.78 -
h2tg000013l:11001410-11004725 -            261 92418at33090         -            293   7.9e-05   19.5   0.0   2   2      0.46   1.8e+02   -1.3   0.0   188   218   211   242   178   249 0.66 -
h2tg000004l:3323910-3342943   -            301 92418at33090         -            293   0.00016   18.5   0.1   1   2   8.1e-07   0.00031   17.5   0.0     6    80     3    84     1   107 0.81 -
h2tg000004l:3323910-3342943   -            301 92418at33090         -            293   0.00016   18.5   0.1   2   2       1.9   7.1e+02   -3.3   0.0   188   228   206   248   204   261 0.68 -
h2tg000014l:13920449-13932031 -            282 92418at33090         -            293   0.00056   16.7   0.1   1   2   8.7e-06    0.0033   14.2   0.0     7    76     2    78     1   110 0.75 -
h2tg000014l:13920449-13932031 -            282 92418at33090         -            293   0.00056   16.7   0.1   2   2      0.14        55    0.3   0.0   187   218   185   217   167   232 0.78 -
h2tg000004l:571193-578372     -            357 92418at33090         -            293    0.0013   15.6   0.0   1   1   4.7e-06    0.0018   15.1   0.0     9    46    56    92    46   125 0.81 -
h2tg000006l:13527059-13529589 -            292 92418at33090         -            293    0.0013   15.5   0.0   1   1   5.2e-06     0.002   14.9   0.0     6    78     2    81     1   100 0.82 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/busco_downloads/lineages/viridiplantae_odb10/hmms/92418at33090.hmm
# Target file:     /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/maternalpaternal.asm.dip.hap2.p_ctg.fa.busco/run_viridiplantae_odb10/metaeuk_output/initial_results/maternalpaternal.asm.dip.hap2.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/maternalpaternal.asm.dip.hap2.p_ctg.fa.busco/run_viridiplantae_odb10/hmmer_output/initial_run_results/92418at33090.out --cpu 1 /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/busco_downloads/lineages/viridiplantae_odb10/hmms/92418at33090.hmm /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/maternalpaternal.asm.dip.hap2.p_ctg.fa.busco/run_viridiplantae_odb10/metaeuk_output/initial_results/maternalpaternal.asm.dip.hap2.p_ctg.fa.modified.fas 
# Current dir:     /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning
# Date:            Thu Apr 18 11:36:32 2024
# [ok]
