#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h2tg000006l:11812804-11832351 -            684 40630at33090         -            577  3.9e-261  864.7  49.3   1   5   3.8e-08   3.7e-06   22.9   0.3     5    38    38    72    35    75 0.87 -
h2tg000006l:11812804-11832351 -            684 40630at33090         -            577  3.9e-261  864.7  49.3   2   5  5.8e-117  5.6e-115  382.2   0.2    12   221    89   300    80   301 0.96 -
h2tg000006l:11812804-11832351 -            684 40630at33090         -            577  3.9e-261  864.7  49.3   3   5  2.5e-141  2.4e-139  462.7  22.1   267   537   301   589   298   600 0.93 -
h2tg000006l:11812804-11832351 -            684 40630at33090         -            577  3.9e-261  864.7  49.3   4   5    0.0015      0.14    7.8   0.6   524   556   595   627   587   641 0.72 -
h2tg000006l:11812804-11832351 -            684 40630at33090         -            577  3.9e-261  864.7  49.3   5   5     0.036       3.4    3.2   7.1   542   570   639   668   629   684 0.66 -
h2tg000006l:11317052-11328413 -            767 40630at33090         -            577   9.4e-93  308.8   0.5   1   3   9.8e-95   9.4e-93  308.8   0.5    44   402    23   382     7   454 0.95 -
h2tg000006l:11317052-11328413 -            767 40630at33090         -            577   9.4e-93  308.8   0.5   2   3       8.2   7.8e+02   -4.6   2.6   495   524   534   563   504   606 0.39 -
h2tg000006l:11317052-11328413 -            767 40630at33090         -            577   9.4e-93  308.8   0.5   3   3       9.8   9.4e+02   -4.9   2.0   493   542   727   749   686   762 0.49 -
h2tg000011l:26505732-26509876 -            336 40630at33090         -            577   1.8e-89  297.9   3.8   1   1   6.1e-90   5.8e-88  293.0   3.8    48   396     2   332     1   336 0.94 -
h2tg000007l:4624830-4625945   -            372 40630at33090         -            577   9.8e-87  288.9   0.1   1   1   1.2e-88   1.2e-86  288.6   0.1    50   399     1   354     1   363 0.91 -
h2tg000004l:2885939-2887069   -            377 40630at33090         -            577   2.7e-81  270.9   0.0   1   1   3.3e-83   3.2e-81  270.7   0.0    55   406     7   363     1   375 0.91 -
h2tg000004l:17050-18261       -            404 40630at33090         -            577   3.1e-78  260.9   0.4   1   1   1.2e-79   1.1e-77  259.0   0.4    67   402     3   359     1   369 0.89 -
h2tg000017l:953615-956254     -            310 40630at33090         -            577   2.3e-77  258.0   0.3   1   2     1e-51   9.7e-50  166.8   0.1    67   251     1   187     1   188 0.93 -
h2tg000017l:953615-956254     -            310 40630at33090         -            577   2.3e-77  258.0   0.3   2   2     1e-28   9.6e-27   90.8   0.0   291   405   186   299   179   308 0.93 -
h2tg000018l:78448-79659       -            404 40630at33090         -            577   2.4e-77  257.9   0.3   1   1   8.8e-79   8.5e-77  256.1   0.3    67   402     3   359     1   371 0.89 -
h2tg000012l:6195894-6199150   -            374 40630at33090         -            577   5.8e-76  253.3   0.0   1   1   7.4e-78   7.1e-76  253.1   0.0    50   399     2   356     1   373 0.91 -
h2tg000017l:8568300-8606768   -            771 40630at33090         -            577   5.1e-73  243.6  26.9   1   3       2.1     2e+02   -2.7   6.1   498   530   110   142    76   154 0.54 -
h2tg000017l:8568300-8606768   -            771 40630at33090         -            577   5.1e-73  243.6  26.9   2   3     1e-43   9.7e-42  140.4   6.3    29   227   134   353   111   367 0.79 -
h2tg000017l:8568300-8606768   -            771 40630at33090         -            577   5.1e-73  243.6  26.9   3   3   1.3e-35   1.3e-33  113.6   1.1   272   447   445   626   358   668 0.76 -
h2tg000024l:5944317-5945456   -            380 40630at33090         -            577   3.8e-72  240.7   0.4   1   1   4.8e-74   4.6e-72  240.5   0.4    49   406     1   363     1   378 0.87 -
h2tg000024l:2712379-2714220   -            391 40630at33090         -            577   5.3e-71  237.0   0.5   1   2   6.7e-19   6.4e-17   58.4   0.1    67   149     1    86     1    92 0.91 -
h2tg000024l:2712379-2714220   -            391 40630at33090         -            577   5.3e-71  237.0   0.5   2   2   7.3e-55     7e-53  177.1   0.1   151   407   120   374   101   383 0.86 -
h2tg000005l:586866-593123     -            628 40630at33090         -            577   2.3e-70  234.9   0.1   1   2   6.3e-50     6e-48  160.8   0.0    24   261     5   266     1   275 0.83 -
h2tg000005l:586866-593123     -            628 40630at33090         -            577   2.3e-70  234.9   0.1   2   2   1.1e-22   1.1e-20   70.9   0.0   314   532   401   623   397   628 0.80 -
h2tg000014l:23110427-23115573 -            337 40630at33090         -            577   2.9e-68  228.0   0.3   1   2   2.6e-45   2.5e-43  145.6   0.1    47   240    38   251    26   261 0.88 -
h2tg000014l:23110427-23115573 -            337 40630at33090         -            577   2.9e-68  228.0   0.3   2   2   9.5e-26   9.1e-24   81.0   0.0   328   403   260   335   256   337 0.95 -
h2tg000024l:30063112-30067624 -            285 40630at33090         -            577   4.8e-67  223.9   1.3   1   2   3.7e-42   3.5e-40  135.2   0.1    83   251     1   160     1   165 0.95 -
h2tg000024l:30063112-30067624 -            285 40630at33090         -            577   4.8e-67  223.9   1.3   2   2   7.3e-28     7e-26   88.0   0.1   291   391   185   283   179   285 0.92 -
h2tg000008l:118292-121270     -            268 40630at33090         -            577   1.2e-63  212.6   0.3   1   2     2e-38     2e-36  122.8   0.0    84   251     2   165     1   171 0.91 -
h2tg000008l:118292-121270     -            268 40630at33090         -            577   1.2e-63  212.6   0.3   2   2   5.7e-28   5.4e-26   88.4   0.1   293   390   172   268   168   268 0.96 -
h2tg000034l:1503380-1504600   -            344 40630at33090         -            577   1.9e-63  212.1   0.2   1   1   2.1e-65     2e-63  211.9   0.2    66   402     8   341     1   344 0.91 -
h2tg000001l:26976490-26977848 -            337 40630at33090         -            577   8.4e-63  209.9   0.1   1   1   9.8e-65   9.4e-63  209.7   0.1    67   402     2   334     1   337 0.91 -
h2tg000005l:1756043-1757539   -            359 40630at33090         -            577   1.9e-62  208.7   0.1   1   1   2.3e-64   2.2e-62  208.5   0.1    65   402    22   356     2   359 0.90 -
h2tg000005l:4531491-4536220   -            308 40630at33090         -            577   3.8e-62  207.7   4.7   1   3     3e-22   2.9e-20   69.4   0.5    48   135    51   145    41   151 0.84 -
h2tg000005l:4531491-4536220   -            308 40630at33090         -            577   3.8e-62  207.7   4.7   2   3   2.2e-19   2.1e-17   60.0   0.1   163   238   148   226   144   231 0.87 -
h2tg000005l:4531491-4536220   -            308 40630at33090         -            577   3.8e-62  207.7   4.7   3   3   1.2e-25   1.1e-23   80.7   0.0   324   404   227   307   224   308 0.95 -
h2tg000027l:1460700-1462370   -            557 40630at33090         -            577   1.3e-56  189.4   1.0   1   2   1.5e-32   1.5e-30  103.4   0.0    18   223    76   296    62   300 0.82 -
h2tg000027l:1460700-1462370   -            557 40630at33090         -            577   1.3e-56  189.4   1.0   2   2   9.8e-27   9.4e-25   84.3   0.5   302   423   419   543   393   557 0.84 -
h2tg000020l:199639-201406     -            194 40630at33090         -            577   3.2e-39  132.1   0.3   1   1   3.8e-41   3.6e-39  131.9   0.3    49   238     1   192     1   194 0.85 -
h2tg000017l:3104143-3118183   -            747 40630at33090         -            577     2e-36  122.8   1.4   1   1   5.1e-38   4.9e-36  121.5   1.4    58   413    89   473    68   497 0.77 -
h2tg000016l:955430-966452     -            174 40630at33090         -            577   4.1e-36  121.8   1.8   1   2     3e-20   2.9e-18   62.8   0.1    50   132     1    93     1    97 0.86 -
h2tg000016l:955430-966452     -            174 40630at33090         -            577   4.1e-36  121.8   1.8   2   2   3.9e-19   3.8e-17   59.2   0.1   168   238    99   172    93   174 0.86 -
h2tg000011l:6626004-6629564   -            233 40630at33090         -            577   9.4e-36  120.6   0.0   1   1   1.5e-37   1.4e-35  120.0   0.0   121   363     6   232     2   233 0.85 -
h2tg000015l:4774358-4779487   -            201 40630at33090         -            577   2.2e-33  112.7   2.3   1   2   5.2e-27     5e-25   85.2   0.4    74   182     1   112     1   117 0.95 -
h2tg000015l:4774358-4779487   -            201 40630at33090         -            577   2.2e-33  112.7   2.3   2   2   1.2e-09   1.2e-07   27.9   0.1   281   356   124   200   113   201 0.87 -
h2tg000014l:15738145-15739948 -            152 40630at33090         -            577   8.2e-31  104.3   0.0   1   1     1e-32   9.6e-31  104.0   0.0   293   408     6   121     4   144 0.95 -
h2tg000014l:15734383-15736987 -            170 40630at33090         -            577   1.1e-29  100.6   0.8   1   1   5.6e-31   5.4e-29   98.3   0.8    59   241     1   169     1   170 0.91 -
h2tg000003l:9612705-9624702   -            598 40630at33090         -            577   2.6e-21   72.9   0.3   1   2   1.6e-16   1.5e-14   50.6   0.0    47   182    83   228    54   242 0.75 -
h2tg000003l:9612705-9624702   -            598 40630at33090         -            577   2.6e-21   72.9   0.3   2   2     3e-07   2.9e-05   19.9   0.0   290   364   440   513   432   521 0.93 -
h2tg000008l:121169-121312     -             48 40630at33090         -            577   7.7e-08   28.4   0.0   1   1   8.3e-10     8e-08   28.4   0.0    74   111     6    43     3    48 0.92 -
h2tg000011l:9718804-9720266   -            453 40630at33090         -            577       1.6    4.3   8.8   1   1     0.028       2.7    3.5   8.8   450   520   115   182   105   219 0.70 -
